"Code";"Name";"Indicators";"Year";"Value";"Measure Unit";"Attribute";
1006000;"Powiat łódzki wschodni";"urbanization rate";"2023";30.4;"%";"";
1006022;"Andrespol (2)";"population per 1 km2";"2023";573.1;"person";"";
1006022;"Andrespol (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1006022;"Andrespol (2)";"population chenge per 1000 inhabitants";"2023";10.8;"person";"";
1006022;"Andrespol (2)";"population in thousands";"2023";14.75;"thousand persons";"";
1006022;"Andrespol (2)";"population in thousands men";"2023";7.06;"thousand persons";"";
1006022;"Andrespol (2)";"population in thousands women";"2023";7.69;"thousand persons";"";
1006022;"Andrespol (2)";"urbanization rate";"2023";0.0;"%";"";
1006032;"Brójce (2)";"population per 1 km2";"2023";105.5;"person";"";
1006032;"Brójce (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1006032;"Brójce (2)";"population chenge per 1000 inhabitants";"2023";4.7;"person";"";
1006032;"Brójce (2)";"population in thousands";"2023";7.29;"thousand persons";"";
1006032;"Brójce (2)";"population in thousands men";"2023";3.61;"thousand persons";"";
1006032;"Brójce (2)";"population in thousands women";"2023";3.67;"thousand persons";"";
1006032;"Brójce (2)";"urbanization rate";"2023";0.0;"%";"";
1006073;"Koluszki (3)";"population per 1 km2";"2023";147.2;"person";"";
1006073;"Koluszki (3)";"population density of the built-up and urbanized area";"2023";;"person";"";
1006073;"Koluszki (3)";"population chenge per 1000 inhabitants";"2023";-4.5;"person";"";
1006073;"Koluszki (3)";"population in thousands";"2023";22.80;"thousand persons";"";
1006073;"Koluszki (3)";"population in thousands men";"2023";10.84;"thousand persons";"";
1006073;"Koluszki (3)";"population in thousands women";"2023";11.96;"thousand persons";"";
1006073;"Koluszki (3)";"urbanization rate";"2023";52.8;"%";"";
1006074;"Koluszki - urban area (4)";"population per 1 km2";"2023";1216.8;"person";"";
1006074;"Koluszki - urban area (4)";"population density of the built-up and urbanized area";"2023";;"person";"";
1006074;"Koluszki - urban area (4)";"population chenge per 1000 inhabitants";"2023";-8.0;"person";"";
1006074;"Koluszki - urban area (4)";"population in thousands";"2023";12.05;"thousand persons";"";
1006074;"Koluszki - urban area (4)";"population in thousands men";"2023";5.65;"thousand persons";"";
1006074;"Koluszki - urban area (4)";"population in thousands women";"2023";6.40;"thousand persons";"";
1006074;"Koluszki - urban area (4)";"urbanization rate";"2023";100.0;"%";"";
1006075;"Koluszki - rural area (5)";"population per 1 km2";"2023";74.2;"person";"";
1006075;"Koluszki - rural area (5)";"population density of the built-up and urbanized area";"2023";;"person";"";
1006075;"Koluszki - rural area (5)";"population chenge per 1000 inhabitants";"2023";-0.7;"person";"";
1006075;"Koluszki - rural area (5)";"population in thousands";"2023";10.75;"thousand persons";"";
1006075;"Koluszki - rural area (5)";"population in thousands men";"2023";5.19;"thousand persons";"";
1006075;"Koluszki - rural area (5)";"population in thousands women";"2023";5.57;"thousand persons";"";
1006075;"Koluszki - rural area (5)";"urbanization rate";"2023";0.0;"%";"";
1006082;"Nowosolna (2)";"population per 1 km2";"2023";105.8;"person";"";
1006082;"Nowosolna (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1006082;"Nowosolna (2)";"population chenge per 1000 inhabitants";"2023";13.5;"person";"";
1006082;"Nowosolna (2)";"population in thousands";"2023";5.71;"thousand persons";"";
1006082;"Nowosolna (2)";"population in thousands men";"2023";2.74;"thousand persons";"";
1006082;"Nowosolna (2)";"population in thousands women";"2023";2.97;"thousand persons";"";
1006082;"Nowosolna (2)";"urbanization rate";"2023";0.0;"%";"";
1006103;"Rzgów (3)";"population per 1 km2";"2023";171.1;"person";"";
1006103;"Rzgów (3)";"population density of the built-up and urbanized area";"2023";;"person";"";
1006103;"Rzgów (3)";"population chenge per 1000 inhabitants";"2023";9.9;"person";"";
1006103;"Rzgów (3)";"population in thousands";"2023";11.35;"thousand persons";"";
1006103;"Rzgów (3)";"population in thousands men";"2023";5.46;"thousand persons";"";
1006103;"Rzgów (3)";"population in thousands women";"2023";5.89;"thousand persons";"";
1006103;"Rzgów (3)";"urbanization rate";"2023";30.5;"%";"";
1006104;"Rzgów - urban area (4)";"population per 1 km2";"2023";206.1;"person";"";
1006104;"Rzgów - urban area (4)";"population density of the built-up and urbanized area";"2023";;"person";"";
1006104;"Rzgów - urban area (4)";"population chenge per 1000 inhabitants";"2023";4.4;"person";"";
1006104;"Rzgów - urban area (4)";"population in thousands";"2023";3.46;"thousand persons";"";
1006104;"Rzgów - urban area (4)";"population in thousands men";"2023";1.63;"thousand persons";"";
1006104;"Rzgów - urban area (4)";"population in thousands women";"2023";1.83;"thousand persons";"";
1006104;"Rzgów - urban area (4)";"urbanization rate";"2023";100.0;"%";"";
1006105;"Rzgów - rural area (5)";"population per 1 km2";"2023";159.2;"person";"";
1006105;"Rzgów - rural area (5)";"population density of the built-up and urbanized area";"2023";;"person";"";
1006105;"Rzgów - rural area (5)";"population chenge per 1000 inhabitants";"2023";12.3;"person";"";
1006105;"Rzgów - rural area (5)";"population in thousands";"2023";7.89;"thousand persons";"";
1006105;"Rzgów - rural area (5)";"population in thousands men";"2023";3.83;"thousand persons";"";
1006105;"Rzgów - rural area (5)";"population in thousands women";"2023";4.06;"thousand persons";"";
1006105;"Rzgów - rural area (5)";"urbanization rate";"2023";0.0;"%";"";
1006113;"Tuszyn (3)";"population per 1 km2";"2023";98.6;"person";"";
1006113;"Tuszyn (3)";"population density of the built-up and urbanized area";"2023";;"person";"";
1006113;"Tuszyn (3)";"population chenge per 1000 inhabitants";"2023";5.6;"person";"";
1006113;"Tuszyn (3)";"population in thousands";"2023";12.81;"thousand persons";"";
1006113;"Tuszyn (3)";"population in thousands men";"2023";6.18;"thousand persons";"";
1006113;"Tuszyn (3)";"population in thousands women";"2023";6.63;"thousand persons";"";
1006113;"Tuszyn (3)";"urbanization rate";"2023";56.0;"%";"";
1006114;"Tuszyn - urban area (4)";"population per 1 km2";"2023";308.4;"person";"";
1006114;"Tuszyn - urban area (4)";"population density of the built-up and urbanized area";"2023";;"person";"";
1006114;"Tuszyn - urban area (4)";"population chenge per 1000 inhabitants";"2023";-0.3;"person";"";
1006114;"Tuszyn - urban area (4)";"population in thousands";"2023";7.17;"thousand persons";"";
1006114;"Tuszyn - urban area (4)";"population in thousands men";"2023";3.44;"thousand persons";"";
1006114;"Tuszyn - urban area (4)";"population in thousands women";"2023";3.73;"thousand persons";"";
1006114;"Tuszyn - urban area (4)";"urbanization rate";"2023";100.0;"%";"";
1006115;"Tuszyn - rural area (5)";"population per 1 km2";"2023";52.9;"person";"";
1006115;"Tuszyn - rural area (5)";"population density of the built-up and urbanized area";"2023";;"person";"";
1006115;"Tuszyn - rural area (5)";"population chenge per 1000 inhabitants";"2023";13.1;"person";"";
1006115;"Tuszyn - rural area (5)";"population in thousands";"2023";5.64;"thousand persons";"";
1006115;"Tuszyn - rural area (5)";"population in thousands men";"2023";2.74;"thousand persons";"";
1006115;"Tuszyn - rural area (5)";"population in thousands women";"2023";2.90;"thousand persons";"";
1006115;"Tuszyn - rural area (5)";"urbanization rate";"2023";0.0;"%";"";
1007000;"Powiat opoczyński";"population per 1 km2";"2023";69.0;"person";"";
1007000;"Powiat opoczyński";"population density of the built-up and urbanized area";"2023";;"person";"";
1007000;"Powiat opoczyński";"population chenge per 1000 inhabitants";"2023";-7.4;"person";"";
1007000;"Powiat opoczyński";"population in thousands";"2023";71.78;"thousand persons";"";
1007000;"Powiat opoczyński";"population in thousands men";"2023";35.42;"thousand persons";"";
1007000;"Powiat opoczyński";"population in thousands women";"2023";36.35;"thousand persons";"";
1007000;"Powiat opoczyński";"urbanization rate";"2023";31.3;"%";"";
1007012;"Białaczów (2)";"population per 1 km2";"2023";48.0;"person";"";
1007012;"Białaczów (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1007012;"Białaczów (2)";"population chenge per 1000 inhabitants";"2023";-7.6;"person";"";
1007012;"Białaczów (2)";"population in thousands";"2023";5.50;"thousand persons";"";
1007012;"Białaczów (2)";"population in thousands men";"2023";2.77;"thousand persons";"";
1007012;"Białaczów (2)";"population in thousands women";"2023";2.73;"thousand persons";"";
1007012;"Białaczów (2)";"urbanization rate";"2023";0.0;"%";"";
1007023;"Drzewica (3)";"population per 1 km2";"2023";82.8;"person";"";
1007023;"Drzewica (3)";"population density of the built-up and urbanized area";"2023";;"person";"";
1007023;"Drzewica (3)";"population chenge per 1000 inhabitants";"2023";-8.5;"person";"";
1007023;"Drzewica (3)";"population in thousands";"2023";9.79;"thousand persons";"";
1007023;"Drzewica (3)";"population in thousands men";"2023";4.77;"thousand persons";"";
1007023;"Drzewica (3)";"population in thousands women";"2023";5.02;"thousand persons";"";
1007023;"Drzewica (3)";"urbanization rate";"2023";36.0;"%";"";
1007024;"Drzewica - urban area (4)";"population per 1 km2";"2023";733.1;"person";"";
1007024;"Drzewica - urban area (4)";"population density of the built-up and urbanized area";"2023";;"person";"";
1007024;"Drzewica - urban area (4)";"population chenge per 1000 inhabitants";"2023";-7.0;"person";"";
1007024;"Drzewica - urban area (4)";"population in thousands";"2023";3.53;"thousand persons";"";
1007024;"Drzewica - urban area (4)";"population in thousands men";"2023";1.71;"thousand persons";"";
1007024;"Drzewica - urban area (4)";"population in thousands women";"2023";1.81;"thousand persons";"";
1007024;"Drzewica - urban area (4)";"urbanization rate";"2023";100.0;"%";"";
1007025;"Drzewica - rural area (5)";"population per 1 km2";"2023";55.2;"person";"";
1007025;"Drzewica - rural area (5)";"population density of the built-up and urbanized area";"2023";;"person";"";
1007025;"Drzewica - rural area (5)";"population chenge per 1000 inhabitants";"2023";-9.3;"person";"";
1007025;"Drzewica - rural area (5)";"population in thousands";"2023";6.26;"thousand persons";"";
1007025;"Drzewica - rural area (5)";"population in thousands men";"2023";3.06;"thousand persons";"";
1007025;"Drzewica - rural area (5)";"population in thousands women";"2023";3.20;"thousand persons";"";
1007025;"Drzewica - rural area (5)";"urbanization rate";"2023";0.0;"%";"";
1007032;"Mniszków (2)";"population per 1 km2";"2023";38.1;"person";"";
1007032;"Mniszków (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1007032;"Mniszków (2)";"population chenge per 1000 inhabitants";"2023";3.0;"person";"";
1007032;"Mniszków (2)";"population in thousands";"2023";4.72;"thousand persons";"";
1007032;"Mniszków (2)";"population in thousands men";"2023";2.42;"thousand persons";"";
1007032;"Mniszków (2)";"population in thousands women";"2023";2.31;"thousand persons";"";
1007032;"Mniszków (2)";"urbanization rate";"2023";0.0;"%";"";
1007043;"Opoczno (3)";"population per 1 km2";"2023";166.1;"person";"";
1007043;"Opoczno (3)";"population density of the built-up and urbanized area";"2023";;"person";"";
1007043;"Opoczno (3)";"population chenge per 1000 inhabitants";"2023";-11.2;"person";"";
1007043;"Opoczno (3)";"population in thousands";"2023";31.68;"thousand persons";"";
1007043;"Opoczno (3)";"population in thousands men";"2023";15.37;"thousand persons";"";
1007043;"Opoczno (3)";"population in thousands women";"2023";16.30;"thousand persons";"";
1007043;"Opoczno (3)";"urbanization rate";"2023";59.7;"%";"";
1007044;"Opoczno - urban area (4)";"population per 1 km2";"2023";701.0;"person";"";
1007044;"Opoczno - urban area (4)";"population density of the built-up and urbanized area";"2023";;"person";"";
1007044;"Opoczno - urban area (4)";"population chenge per 1000 inhabitants";"2023";-17.3;"person";"";
1007044;"Opoczno - urban area (4)";"population in thousands";"2023";18.91;"thousand persons";"";
1007044;"Opoczno - urban area (4)";"population in thousands men";"2023";9.02;"thousand persons";"";
1007044;"Opoczno - urban area (4)";"population in thousands women";"2023";9.89;"thousand persons";"";
1007044;"Opoczno - urban area (4)";"urbanization rate";"2023";100.0;"%";"";
1007045;"Opoczno - rural area (5)";"population per 1 km2";"2023";78.0;"person";"";
1007045;"Opoczno - rural area (5)";"population density of the built-up and urbanized area";"2023";;"person";"";
1007045;"Opoczno - rural area (5)";"population chenge per 1000 inhabitants";"2023";-2.1;"person";"";
1007045;"Opoczno - rural area (5)";"population in thousands";"2023";12.76;"thousand persons";"";
1007045;"Opoczno - rural area (5)";"population in thousands men";"2023";6.35;"thousand persons";"";
1007045;"Opoczno - rural area (5)";"population in thousands women";"2023";6.41;"thousand persons";"";
1007045;"Opoczno - rural area (5)";"urbanization rate";"2023";0.0;"%";"";
1007052;"Paradyż (2)";"population per 1 km2";"2023";51.4;"person";"";
1007052;"Paradyż (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1007052;"Paradyż (2)";"population chenge per 1000 inhabitants";"2023";-4.8;"person";"";
1007052;"Paradyż (2)";"population in thousands";"2023";4.18;"thousand persons";"";
1007052;"Paradyż (2)";"population in thousands men";"2023";2.12;"thousand persons";"";
1007052;"Paradyż (2)";"population in thousands women";"2023";2.07;"thousand persons";"";
1007052;"Paradyż (2)";"urbanization rate";"2023";0.0;"%";"";
1007062;"Poświętne (2)";"population per 1 km2";"2023";20.4;"person";"";
1007062;"Poświętne (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1007062;"Poświętne (2)";"population chenge per 1000 inhabitants";"2023";-16.6;"person";"";
1007062;"Poświętne (2)";"population in thousands";"2023";2.90;"thousand persons";"";
1007062;"Poświętne (2)";"population in thousands men";"2023";1.44;"thousand persons";"";
1007062;"Poświętne (2)";"population in thousands women";"2023";1.45;"thousand persons";"";
1007062;"Poświętne (2)";"urbanization rate";"2023";0.0;"%";"";
1007072;"Sławno (2)";"population per 1 km2";"2023";58.0;"person";"";
1007072;"Sławno (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1007072;"Sławno (2)";"population chenge per 1000 inhabitants";"2023";0.9;"person";"";
1007072;"Sławno (2)";"population in thousands";"2023";7.47;"thousand persons";"";
1007072;"Sławno (2)";"population in thousands men";"2023";3.75;"thousand persons";"";
1007072;"Sławno (2)";"population in thousands women";"2023";3.72;"thousand persons";"";
1007072;"Sławno (2)";"urbanization rate";"2023";0.0;"%";"";
1007082;"Żarnów (2)";"population per 1 km2";"2023";39.3;"person";"";
1007082;"Żarnów (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1007082;"Żarnów (2)";"population chenge per 1000 inhabitants";"2023";0.0;"person";"z";
1007082;"Żarnów (2)";"population in thousands";"2023";5.54;"thousand persons";"";
1007082;"Żarnów (2)";"population in thousands men";"2023";2.78;"thousand persons";"";
1007082;"Żarnów (2)";"population in thousands women";"2023";2.76;"thousand persons";"";
1007082;"Żarnów (2)";"urbanization rate";"2023";0.0;"%";"";
1008000;"Powiat pabianicki";"population per 1 km2";"2023";241.9;"person";"";
1008000;"Powiat pabianicki";"population density of the built-up and urbanized area";"2023";;"person";"";
1008000;"Powiat pabianicki";"population chenge per 1000 inhabitants";"2023";-2.1;"person";"";
1008000;"Powiat pabianicki";"population in thousands";"2023";119.07;"thousand persons";"";
1008000;"Powiat pabianicki";"population in thousands men";"2023";56.23;"thousand persons";"";
1008000;"Powiat pabianicki";"population in thousands women";"2023";62.84;"thousand persons";"";
1008000;"Powiat pabianicki";"urbanization rate";"2023";68.4;"%";"";
1008011;"Konstantynów Łódzki (1)";"population per 1 km2";"2023";705.7;"person";"";
1008011;"Konstantynów Łódzki (1)";"population density of the built-up and urbanized area";"2023";;"person";"";
1008011;"Konstantynów Łódzki (1)";"population chenge per 1000 inhabitants";"2023";3.7;"person";"";
1008011;"Konstantynów Łódzki (1)";"population in thousands";"2023";19.23;"thousand persons";"";
1008011;"Konstantynów Łódzki (1)";"population in thousands men";"2023";9.05;"thousand persons";"";
1008011;"Konstantynów Łódzki (1)";"population in thousands women";"2023";10.18;"thousand persons";"";
1008011;"Konstantynów Łódzki (1)";"urbanization rate";"2023";100.0;"%";"";
1008021;"Pabianice (1)";"population per 1 km2";"2023";1836.9;"person";"";
1008021;"Pabianice (1)";"population density of the built-up and urbanized area";"2023";;"person";"";
1008021;"Pabianice (1)";"population chenge per 1000 inhabitants";"2023";-12.3;"person";"";
1008021;"Pabianice (1)";"population in thousands";"2023";60.60;"thousand persons";"";
1008021;"Pabianice (1)";"population in thousands men";"2023";27.93;"thousand persons";"";
1008021;"Pabianice (1)";"population in thousands women";"2023";32.67;"thousand persons";"";
1008021;"Pabianice (1)";"urbanization rate";"2023";100.0;"%";"";
1008032;"Dłutów (2)";"population per 1 km2";"2023";49.1;"person";"";
1008032;"Dłutów (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1008032;"Dłutów (2)";"population chenge per 1000 inhabitants";"2023";8.3;"person";"";
1008032;"Dłutów (2)";"population in thousands";"2023";4.97;"thousand persons";"";
1008032;"Dłutów (2)";"population in thousands men";"2023";2.44;"thousand persons";"";
1008032;"Dłutów (2)";"population in thousands women";"2023";2.53;"thousand persons";"";
1008032;"Dłutów (2)";"urbanization rate";"2023";0.0;"%";"";
1008042;"Dobroń (2)";"population per 1 km2";"2023";85.0;"person";"";
1008042;"Dobroń (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1008042;"Dobroń (2)";"population chenge per 1000 inhabitants";"2023";5.5;"person";"";
1008042;"Dobroń (2)";"population in thousands";"2023";8.12;"thousand persons";"";
1008042;"Dobroń (2)";"population in thousands men";"2023";3.98;"thousand persons";"";
1008042;"Dobroń (2)";"population in thousands women";"2023";4.14;"thousand persons";"";
1008042;"Dobroń (2)";"urbanization rate";"2023";0.0;"%";"";
1008052;"Ksawerów (2)";"population per 1 km2";"2023";562.0;"person";"";
1008052;"Ksawerów (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1008052;"Ksawerów (2)";"population chenge per 1000 inhabitants";"2023";1.7;"person";"";
1008052;"Ksawerów (2)";"population in thousands";"2023";7.67;"thousand persons";"";
1008052;"Ksawerów (2)";"population in thousands men";"2023";3.67;"thousand persons";"";
1008052;"Ksawerów (2)";"population in thousands women";"2023";4.00;"thousand persons";"";
1008052;"Ksawerów (2)";"urbanization rate";"2023";0.0;"%";"";
1008063;"Lutomiersk (3)";"population per 1 km2";"2023";70.8;"person";"";
1008063;"Lutomiersk (3)";"population density of the built-up and urbanized area";"2023";;"person";"";
1008063;"Lutomiersk (3)";"population chenge per 1000 inhabitants";"2023";10.2;"person";"";
1008063;"Lutomiersk (3)";"population in thousands";"2023";9.48;"thousand persons";"";
1008063;"Lutomiersk (3)";"population in thousands men";"2023";4.70;"thousand persons";"";
1008063;"Lutomiersk (3)";"population in thousands women";"2023";4.78;"thousand persons";"";
1008063;"Lutomiersk (3)";"urbanization rate";"2023";16.6;"%";"";
1008064;"Lutomiersk - urban area (4)";"population per 1 km2";"2023";302.7;"person";"";
1008064;"Lutomiersk - urban area (4)";"population density of the built-up and urbanized area";"2023";;"person";"";
1008064;"Lutomiersk - urban area (4)";"population chenge per 1000 inhabitants";"2023";-4.4;"person";"";
1008064;"Lutomiersk - urban area (4)";"population in thousands";"2023";1.57;"thousand persons";"";
1008064;"Lutomiersk - urban area (4)";"population in thousands men";"2023";0.78;"thousand persons";"";
1008064;"Lutomiersk - urban area (4)";"population in thousands women";"2023";0.79;"thousand persons";"";
1008064;"Lutomiersk - urban area (4)";"urbanization rate";"2023";100.0;"%";"";
1008065;"Lutomiersk - rural area (5)";"population per 1 km2";"2023";61.4;"person";"";
1008065;"Lutomiersk - rural area (5)";"population density of the built-up and urbanized area";"2023";;"person";"";
1008065;"Lutomiersk - rural area (5)";"population chenge per 1000 inhabitants";"2023";13.2;"person";"";
1008065;"Lutomiersk - rural area (5)";"population in thousands";"2023";7.91;"thousand persons";"";
1008065;"Lutomiersk - rural area (5)";"population in thousands men";"2023";3.92;"thousand persons";"";
1008065;"Lutomiersk - rural area (5)";"population in thousands women";"2023";3.99;"thousand persons";"";
1008065;"Lutomiersk - rural area (5)";"urbanization rate";"2023";0.0;"%";"";
1008072;"Pabianice (2)";"population per 1 km2";"2023";102.6;"person";"";
1008072;"Pabianice (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1008072;"Pabianice (2)";"population chenge per 1000 inhabitants";"2023";27.5;"person";"";
1008072;"Pabianice (2)";"population in thousands";"2023";9.00;"thousand persons";"";
1008072;"Pabianice (2)";"population in thousands men";"2023";4.46;"thousand persons";"";
1008072;"Pabianice (2)";"population in thousands women";"2023";4.54;"thousand persons";"";
1008072;"Pabianice (2)";"urbanization rate";"2023";0.0;"%";"";
1009000;"Powiat pajęczański";"population per 1 km2";"2023";60.4;"person";"";
1009000;"Powiat pajęczański";"population density of the built-up and urbanized area";"2023";;"person";"";
1009000;"Powiat pajęczański";"population chenge per 1000 inhabitants";"2023";-10.0;"person";"";
1009000;"Powiat pajęczański";"population in thousands";"2023";48.58;"thousand persons";"";
1009000;"Powiat pajęczański";"population in thousands men";"2023";24.12;"thousand persons";"";
1009000;"Powiat pajęczański";"population in thousands women";"2023";24.46;"thousand persons";"";
1009000;"Powiat pajęczański";"urbanization rate";"2023";23.9;"%";"";
1009013;"Działoszyn (3)";"population per 1 km2";"2023";94.9;"person";"";
1009013;"Działoszyn (3)";"population density of the built-up and urbanized area";"2023";;"person";"";
1009013;"Działoszyn (3)";"population chenge per 1000 inhabitants";"2023";-14.3;"person";"";
1009013;"Działoszyn (3)";"population in thousands";"2023";11.48;"thousand persons";"";
1009013;"Działoszyn (3)";"population in thousands men";"2023";5.66;"thousand persons";"";
1009013;"Działoszyn (3)";"population in thousands women";"2023";5.82;"thousand persons";"";
1009013;"Działoszyn (3)";"urbanization rate";"2023";45.7;"%";"";
1009014;"Działoszyn - urban area (4)";"population per 1 km2";"2023";1060.5;"person";"";
1009014;"Działoszyn - urban area (4)";"population density of the built-up and urbanized area";"2023";;"person";"";
1009014;"Działoszyn - urban area (4)";"population chenge per 1000 inhabitants";"2023";-17.1;"person";"";
1009014;"Działoszyn - urban area (4)";"population in thousands";"2023";5.24;"thousand persons";"";
1009014;"Działoszyn - urban area (4)";"population in thousands men";"2023";2.50;"thousand persons";"";
1009014;"Działoszyn - urban area (4)";"population in thousands women";"2023";2.74;"thousand persons";"";
1009014;"Działoszyn - urban area (4)";"urbanization rate";"2023";100.0;"%";"";
1009015;"Działoszyn - rural area (5)";"population per 1 km2";"2023";53.8;"person";"";
1009015;"Działoszyn - rural area (5)";"population density of the built-up and urbanized area";"2023";;"person";"";
1009015;"Działoszyn - rural area (5)";"population chenge per 1000 inhabitants";"2023";-12.0;"person";"";
1009015;"Działoszyn - rural area (5)";"population in thousands";"2023";6.24;"thousand persons";"";
1009015;"Działoszyn - rural area (5)";"population in thousands men";"2023";3.16;"thousand persons";"";
1009015;"Działoszyn - rural area (5)";"population in thousands women";"2023";3.08;"thousand persons";"";
1009015;"Działoszyn - rural area (5)";"urbanization rate";"2023";0.0;"%";"";
1009022;"Kiełczygłów (2)";"population per 1 km2";"2023";43.3;"person";"";
1009022;"Kiełczygłów (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1009022;"Kiełczygłów (2)";"population chenge per 1000 inhabitants";"2023";-10.5;"person";"";
1009022;"Kiełczygłów (2)";"population in thousands";"2023";3.77;"thousand persons";"";
1009022;"Kiełczygłów (2)";"population in thousands men";"2023";1.89;"thousand persons";"";
1009022;"Kiełczygłów (2)";"population in thousands women";"2023";1.89;"thousand persons";"";
1009022;"Kiełczygłów (2)";"urbanization rate";"2023";0.0;"%";"";
1009032;"Nowa Brzeźnica (2)";"population per 1 km2";"2023";32.0;"person";"";
1009032;"Nowa Brzeźnica (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1009032;"Nowa Brzeźnica (2)";"population chenge per 1000 inhabitants";"2023";-10.5;"person";"";
1009032;"Nowa Brzeźnica (2)";"population in thousands";"2023";4.33;"thousand persons";"";
1009032;"Nowa Brzeźnica (2)";"population in thousands men";"2023";2.18;"thousand persons";"";
1009032;"Nowa Brzeźnica (2)";"population in thousands women";"2023";2.15;"thousand persons";"";
1009032;"Nowa Brzeźnica (2)";"urbanization rate";"2023";0.0;"%";"";
1009043;"Pajęczno (3)";"population per 1 km2";"2023";97.5;"person";"";
1009043;"Pajęczno (3)";"population density of the built-up and urbanized area";"2023";;"person";"";
1009043;"Pajęczno (3)";"population chenge per 1000 inhabitants";"2023";-8.6;"person";"";
1009043;"Pajęczno (3)";"population in thousands";"2023";11.08;"thousand persons";"";
1009043;"Pajęczno (3)";"population in thousands men";"2023";5.46;"thousand persons";"";
1009043;"Pajęczno (3)";"population in thousands women";"2023";5.62;"thousand persons";"";
1009043;"Pajęczno (3)";"urbanization rate";"2023";57.5;"%";"";
1009044;"Pajęczno - urban area (4)";"population per 1 km2";"2023";314.9;"person";"";
1009044;"Pajęczno - urban area (4)";"population density of the built-up and urbanized area";"2023";;"person";"";
1009044;"Pajęczno - urban area (4)";"population chenge per 1000 inhabitants";"2023";-6.2;"person";"";
1009044;"Pajęczno - urban area (4)";"population in thousands";"2023";6.37;"thousand persons";"";
1009044;"Pajęczno - urban area (4)";"population in thousands men";"2023";3.12;"thousand persons";"";
1009044;"Pajęczno - urban area (4)";"population in thousands women";"2023";3.25;"thousand persons";"";
1009044;"Pajęczno - urban area (4)";"urbanization rate";"2023";100.0;"%";"";
1009045;"Pajęczno - rural area (5)";"population per 1 km2";"2023";50.4;"person";"";
1009045;"Pajęczno - rural area (5)";"population density of the built-up and urbanized area";"2023";;"person";"";
1009045;"Pajęczno - rural area (5)";"population chenge per 1000 inhabitants";"2023";-11.8;"person";"";
1009045;"Pajęczno - rural area (5)";"population in thousands";"2023";4.71;"thousand persons";"";
1009045;"Pajęczno - rural area (5)";"population in thousands men";"2023";2.34;"thousand persons";"";
1009045;"Pajęczno - rural area (5)";"population in thousands women";"2023";2.37;"thousand persons";"";
1009045;"Pajęczno - rural area (5)";"urbanization rate";"2023";0.0;"%";"";
1009052;"Rząśnia (2)";"population per 1 km2";"2023";57.1;"person";"";
1009052;"Rząśnia (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1009052;"Rząśnia (2)";"population chenge per 1000 inhabitants";"2023";-0.8;"person";"";
1009052;"Rząśnia (2)";"population in thousands";"2023";4.92;"thousand persons";"";
1009052;"Rząśnia (2)";"population in thousands men";"2023";2.48;"thousand persons";"";
1009052;"Rząśnia (2)";"population in thousands women";"2023";2.44;"thousand persons";"";
1009052;"Rząśnia (2)";"urbanization rate";"2023";0.0;"%";"";
1009062;"Siemkowice (2)";"population per 1 km2";"2023";44.4;"person";"";
1009062;"Siemkowice (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1009062;"Siemkowice (2)";"population chenge per 1000 inhabitants";"2023";-13.3;"person";"";
1009062;"Siemkowice (2)";"population in thousands";"2023";4.44;"thousand persons";"";
1009062;"Siemkowice (2)";"population in thousands men";"2023";2.21;"thousand persons";"";
1009062;"Siemkowice (2)";"population in thousands women";"2023";2.23;"thousand persons";"";
1009062;"Siemkowice (2)";"urbanization rate";"2023";0.0;"%";"";
1009072;"Strzelce Wielkie (2)";"population per 1 km2";"2023";53.3;"person";"";
1009072;"Strzelce Wielkie (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1009072;"Strzelce Wielkie (2)";"population chenge per 1000 inhabitants";"2023";-14.0;"person";"";
1009072;"Strzelce Wielkie (2)";"population in thousands";"2023";4.16;"thousand persons";"";
1009072;"Strzelce Wielkie (2)";"population in thousands men";"2023";2.08;"thousand persons";"";
1009072;"Strzelce Wielkie (2)";"population in thousands women";"2023";2.08;"thousand persons";"";
1009072;"Strzelce Wielkie (2)";"urbanization rate";"2023";0.0;"%";"";
1009082;"Sulmierzyce (2)";"population per 1 km2";"2023";53.2;"person";"";
1009082;"Sulmierzyce (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1009082;"Sulmierzyce (2)";"population chenge per 1000 inhabitants";"2023";-3.9;"person";"";
1009082;"Sulmierzyce (2)";"population in thousands";"2023";4.40;"thousand persons";"";
