"Code";"Name";"Indicators";"Year";"Value";"Measure Unit";"Attribute";
0201052;"Osiecznica (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
0201052;"Osiecznica (2)";"population chenge per 1000 inhabitants";"2023";-3.2;"person";"";
0201052;"Osiecznica (2)";"population in thousands";"2023";7.28;"thousand persons";"";
0201052;"Osiecznica (2)";"population in thousands men";"2023";3.67;"thousand persons";"";
0201052;"Osiecznica (2)";"population in thousands women";"2023";3.61;"thousand persons";"";
0201052;"Osiecznica (2)";"urbanization rate";"2023";0.0;"%";"";
0201062;"Warta Bolesławiecka (2)";"population per 1 km2";"2023";76.1;"person";"";
0201062;"Warta Bolesławiecka (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
0201062;"Warta Bolesławiecka (2)";"population chenge per 1000 inhabitants";"2023";0.5;"person";"";
0201062;"Warta Bolesławiecka (2)";"population in thousands";"2023";8.41;"thousand persons";"";
0201062;"Warta Bolesławiecka (2)";"population in thousands men";"2023";4.15;"thousand persons";"";
0201062;"Warta Bolesławiecka (2)";"population in thousands women";"2023";4.26;"thousand persons";"";
0201062;"Warta Bolesławiecka (2)";"urbanization rate";"2023";0.0;"%";"";
0202000;"Powiat dzierżoniowski";"population per 1 km2";"2023";198.0;"person";"";
0202000;"Powiat dzierżoniowski";"population density of the built-up and urbanized area";"2023";;"person";"";
0202000;"Powiat dzierżoniowski";"population chenge per 1000 inhabitants";"2023";-11.7;"person";"";
0202000;"Powiat dzierżoniowski";"population in thousands";"2023";94.74;"thousand persons";"";
0202000;"Powiat dzierżoniowski";"population in thousands men";"2023";44.90;"thousand persons";"";
0202000;"Powiat dzierżoniowski";"population in thousands women";"2023";49.84;"thousand persons";"";
0202000;"Powiat dzierżoniowski";"urbanization rate";"2023";78.1;"%";"";
0202011;"Bielawa (1)";"population per 1 km2";"2023";774.0;"person";"";
0202011;"Bielawa (1)";"population density of the built-up and urbanized area";"2023";;"person";"";
0202011;"Bielawa (1)";"population chenge per 1000 inhabitants";"2023";-11.2;"person";"";
0202011;"Bielawa (1)";"population in thousands";"2023";28.03;"thousand persons";"";
0202011;"Bielawa (1)";"population in thousands men";"2023";13.05;"thousand persons";"";
0202011;"Bielawa (1)";"population in thousands women";"2023";14.98;"thousand persons";"";
0202011;"Bielawa (1)";"urbanization rate";"2023";100.0;"%";"";
0202021;"Dzierżoniów (1)";"population per 1 km2";"2023";1525.4;"person";"";
0202021;"Dzierżoniów (1)";"population density of the built-up and urbanized area";"2023";;"person";"";
0202021;"Dzierżoniów (1)";"population chenge per 1000 inhabitants";"2023";-14.4;"person";"";
0202021;"Dzierżoniów (1)";"population in thousands";"2023";30.61;"thousand persons";"";
0202021;"Dzierżoniów (1)";"population in thousands men";"2023";14.24;"thousand persons";"";
0202021;"Dzierżoniów (1)";"population in thousands women";"2023";16.38;"thousand persons";"";
0202021;"Dzierżoniów (1)";"urbanization rate";"2023";100.0;"%";"";
0202033;"Pieszyce (3)";"population per 1 km2";"2023";140.0;"person";"";
0202033;"Pieszyce (3)";"population density of the built-up and urbanized area";"2023";;"person";"";
0202033;"Pieszyce (3)";"population chenge per 1000 inhabitants";"2023";-8.4;"person";"";
0202033;"Pieszyce (3)";"population in thousands";"2023";8.90;"thousand persons";"";
0202033;"Pieszyce (3)";"population in thousands men";"2023";4.31;"thousand persons";"";
0202033;"Pieszyce (3)";"population in thousands women";"2023";4.59;"thousand persons";"";
0202033;"Pieszyce (3)";"urbanization rate";"2023";76.0;"%";"";
0202034;"Pieszyce - urban area (4)";"population per 1 km2";"2023";381.8;"person";"";
0202034;"Pieszyce - urban area (4)";"population density of the built-up and urbanized area";"2023";;"person";"";
0202034;"Pieszyce - urban area (4)";"population chenge per 1000 inhabitants";"2023";-9.1;"person";"";
0202034;"Pieszyce - urban area (4)";"population in thousands";"2023";6.77;"thousand persons";"";
0202034;"Pieszyce - urban area (4)";"population in thousands men";"2023";3.21;"thousand persons";"";
0202034;"Pieszyce - urban area (4)";"population in thousands women";"2023";3.55;"thousand persons";"";
0202034;"Pieszyce - urban area (4)";"urbanization rate";"2023";100.0;"%";"";
0202035;"Pieszyce - rural area (5)";"population per 1 km2";"2023";46.6;"person";"";
0202035;"Pieszyce - rural area (5)";"population density of the built-up and urbanized area";"2023";;"person";"";
